   N, sym,         U_ss,         U_pp,       zeta_s,       zeta_p,       zeta_d,       beta_s,       beta_p,         g_ss,         g_sp,         g_pp,         g_p2,         h_sp,        alpha,  Gaussian1_K,  Gaussian1_L,  Gaussian1_M,  Gaussian2_K,  Gaussian2_L,  Gaussian2_M,  Gaussian3_K,  Gaussian3_L,  Gaussian3_M,  Gaussian4_K,  Gaussian4_L,  Gaussian4_M
   1,   H,  -11.3964270,            0,    1.1880780,            0,            0,   -6.1737870,            0,   12.8480000,            0,            0,            0,            0,    2.8823240,    0.1227960,    5.0000000,    1.2000000,    0.0050900,    5.0000000,    1.8000000,   -0.0183360,    2.0000000,    2.1000000,            0,            0,            0
   2,  He,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
   3,  Li,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
   4,  Be,  -16.6023780,  -10.7037710,    1.0042100,    1.0042100,            0,   -4.0170960,   -4.0170960,    9.0000000,    7.4300000,    6.9700000,    6.2200000,    1.2800000,    1.6694340,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
   5,   B,  -34.4928700,  -22.6315250,    1.6117090,    1.5553850,            0,   -9.5991140,   -6.2737570,   10.5900000,    9.5600000,    8.8600000,    7.8600000,    1.8100000,    2.4469090,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
   6,   C,  -52.0286580,  -39.6142390,    1.8086650,    1.6851160,            0,  -15.7157830,   -7.7192830,   12.2300000,   11.4700000,   11.0800000,    9.8400000,    2.4300000,    2.6482740,    0.0113550,    5.0000000,    1.6000000,    0.0459240,    5.0000000,    1.8500000,   -0.0200610,    5.0000000,    2.0500000,   -0.0012600,    5.0000000,    2.6500000
   7,   N,  -71.8600000,  -57.1675810,    2.3154100,    2.1579400,            0,  -20.2991100,  -18.2386660,   13.5900000,   12.6600000,   12.9800000,   11.5900000,    3.1400000,    2.9472860,    0.0252510,    5.0000000,    1.5000000,    0.0289530,    5.0000000,    2.1000000,   -0.0058060,    2.0000000,    2.4000000,            0,            0,            0
   8,   O,  -97.8300000,  -78.2623800,    3.1080320,    2.5240390,            0,  -29.2727730,  -29.2727730,   15.4200000,   14.4800000,   14.5200000,   12.9800000,    3.9400000,    4.4553710,    0.2809620,    5.0000000,    0.8479180,    0.0814300,    7.0000000,    1.4450710,            0,            0,            0,            0,            0,            0
   9,   F, -136.1055790, -104.8898850,    3.7700820,    2.4946700,            0,  -69.5902770,  -27.9223600,   16.9200000,   17.2500000,   16.7100000,   14.9100000,    4.8300000,    5.5178000,    0.2420790,    4.8000000,    0.9300000,    0.0036070,    4.6000000,    1.6600000,            0,            0,            0,            0,            0,            0
  10,  Ne,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
